;Zone;Population 2018;Différence population (%);Disponibilité en protéines par habitant (g/personne);Disponibilité en calories par habitant (kcal/personne);Proportion protéine animale (%);Proportion protéine volailles / prot animale(%);PIB par habitant;Cluster
0;Arménie;2951745.0;0.23614579099162483;34419.5;1092080.0;48.04878048780489;11.322003972632972;12715.0;1
1;Afghanistan;37171921.0;2.4129525935738756;20257.500000000004;743870.0;19.44144144144144;4.726598702502317;2190.2;3
2;Albanie;2882740.0;-0.04954633379668605;42219.54999999999;1226765.0;53.375983401054725;5.7013281503077415;13601.3;2
3;Algérie;42228407.99999999;2.0276285191285033;33514.299999999996;1212165.0;26.92223916358092;8.576051779935275;11479.5;1
4;Angola;30809787.0;3.3304114872820234;19363.25;869795.0;30.744580584354388;24.524831391784183;6933.5;4
5;Antigua-et-Barbuda;96286.0;0.9012218892125828;29167.15;891330.0;64.74784132148669;36.50947042906842;21115.8;1
6;Argentine;44361150.0;0.9650377789724184;38963.75000000001;1207420.0;64.68384074941453;20.535843591600283;22745.9;2
7;Australie;24898152.0;1.2753176579503889;38635.25;1237715.0;66.7926310817194;23.91796322489392;49576.0;2
8;Autriche;8891388.0;0.8105193017472758;39803.25;1348310.0;60.35763411279229;11.62260711030082;55687.2;2
9;Bahamas;385636.99999999994;1.0168825555657288;29400.75;968710.0;65.05276225946615;37.55725190839695;35500.5;1
10;Barbade;286640.99999999994;0.14289108136055192;32517.850000000002;1078575.0;57.267931305421506;31.046648373186986;15674.9;1
11;Bangladesh;161376708.0;1.0591348650581998;22151.85;935860.0;20.711814137419676;3.9777247414478905;4441.4;0
12;Bolivie (État plurinational de);11353142.0;1.432047498158426;26717.999999999996;879650.0;48.42896174863388;38.19464033850494;8655.5;1
13;Botswana;2254067.9999999995;2.2215974023618115;23940.350000000002;853735.0;42.68943436499465;4.928571428571428;17634.1;0
14;Brésil;209469323.0;0.7869267746665085;34915.9;1204500.0;56.19903826050597;28.571428571428566;14596.2;1
15;Belize;383070.99999999994;1.94321511354049;26210.649999999998;1013240.0;42.91881353571927;26.995457495133035;7119.1;4
16;Îles Salomon;652857.0;2.644177479682847;19392.450000000004;880380.0;28.92904197252023;10.279765777488613;2365.2;3
17;Bulgarie;7051608.0;-0.7157536194583194;30335.149999999998;1042805.0;50.48730598002644;21.234509056244043;22181.5;1
18;Myanmar;53708320.0;0.6103064855139925;33087.24999999999;974915.0;45.648097076668506;23.00628322861286;5029.2;1
19;Cameroun;25216267.000000004;2.6467152483020255;26239.85;997180.0;15.676728334956186;9.494232475598938;3603.5;3
20;Canada;37074562.00000001;0.9323372380475554;38106.00000000001;1301955.0;54.348659003831436;25.308424391963342;48924.4;2
21;Cabo Verde;543766.9999999999;1.1663299212275937;25860.25;927100.0;36.72547635850387;24.750192159877017;6864.1;4
22;République centrafricaine;4666367.999999999;1.530562401450109;16260.75;651160.0;44.377104377104395;3.43955488113303;933.1;0
23;Sri Lanka;21228763.0;0.4767647076641881;23783.4;999005.0;27.209944751381215;9.983079526226737;12864.6;0
24;Tchad;15477729.0;3.0697448376489826;22440.2;771245.0;16.785946649316852;1.4534883720930232;1576.3;3
25;Chili;18729160.0;1.4007301071728797;33426.70000000001;1105220.0;54.16029700808036;27.33870967741936;24258.7;1
26;Chine, continentale;1427647785.9999998;0.4662838418077348;36770.100000000006;1164715.0;39.348818741314275;11.175580221997981;15243.2;0
27;Colombie;49661047.99999999;1.5359056896506813;26608.499999999993;1135880.0;51.193415637860085;27.70632368703108;14455.6;1
28;Congo;5244359.0;2.615378143285809;21118.9;834025.0;45.61009332872451;31.906025009473282;3414.4;4
29;Costa Rica;4999441.0;0.9997466643124191;30083.299999999996;1104855.0;55.787430235379766;17.507612005219663;19426.7;0
30;Chypre;1189265.0;0.8126793921731175;33423.05;1100475.0;49.78704815987769;21.144987935950873;38822.5;2
31;Azerbaïdjan;9949537.0;1.0585435516570365;34448.70000000001;1147925.0;34.456452638270825;14.452644526445265;14209.6;1
32;Bénin;11485044.0;2.7726220152877787;23352.699999999997;1006305.0;19.490465770553296;28.388131515637532;3160.8;4
33;Danemark;5752126.0;0.3463198025774738;42708.65;1240635.0;68.13947525852491;14.950457795058322;56102.8;2
34;Dominique;71625.0;0.2337037140698055;28845.95;1077845.0;55.54852587624952;31.890660592255127;11533.4;1
35;République dominicaine;10627141.000000002;1.0847129449114372;24195.84999999999;1055580.0;50.5053552572032;34.64755077658303;17711.8;1
36;Bélarus;9452617.0;0.025248060073879912;33561.74999999999;1192820.0;56.78085916258837;18.559662899827615;18885.2;2
37;Équateur;17084358.0;1.7812962140045685;24068.100000000002;951555.0;46.61813770094027;21.210149642160054;11561.8;4
38;Égypte;98423598.00000001;2.054078990889007;35583.850000000006;1200120.0;27.079700482100737;23.030303030303028;11366.3;1
39;El Salvador;6420746.0;0.5106348872893223;28068.499999999996;984040.0;35.00650195058517;27.26597325408618;8615.6;1
40;Estonie;1322920.0;0.26754788197575946;38383.399999999994;1185155.0;62.219475085583895;11.646033929390189;35308.1;2
