Series Name,Series Code,Country Name,Country Code,2008 [YR2008]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,27722276
"Population, total",SP.POP.TOTL,Albania,ALB,2947314
"Population, total",SP.POP.TOTL,Algeria,DZA,34730608
"Population, total",SP.POP.TOTL,American Samoa,ASM,57492
"Population, total",SP.POP.TOTL,Andorra,AND,83862
"Population, total",SP.POP.TOTL,Angola,AGO,21695634
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,85397
"Population, total",SP.POP.TOTL,Argentina,ARG,40080160
"Population, total",SP.POP.TOTL,Armenia,ARM,2907618
"Population, total",SP.POP.TOTL,Aruba,ABW,101358
"Population, total",SP.POP.TOTL,Australia,AUS,21249200
"Population, total",SP.POP.TOTL,Austria,AUT,8321496
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8763400
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,343681
"Population, total",SP.POP.TOTL,Bahrain,BHR,1114641
"Population, total",SP.POP.TOTL,Bangladesh,BGD,144304167
"Population, total",SP.POP.TOTL,Barbados,BRB,279946
"Population, total",SP.POP.TOTL,Belarus,BLR,9527985
"Population, total",SP.POP.TOTL,Belgium,BEL,10709973
"Population, total",SP.POP.TOTL,Belize,BLZ,306823
"Population, total",SP.POP.TOTL,Benin,BEN,8696921
"Population, total",SP.POP.TOTL,Bermuda,BMU,65273
"Population, total",SP.POP.TOTL,Bhutan,BTN,671613
"Population, total",SP.POP.TOTL,Bolivia,BOL,9721454
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3754271
"Population, total",SP.POP.TOTL,Botswana,BWA,1915639
"Population, total",SP.POP.TOTL,Brazil,BRA,192030362
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,26097
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,379421
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7492561
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,14689725
"Population, total",SP.POP.TOTL,Burundi,BDI,8126102
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,480842
"Population, total",SP.POP.TOTL,Cambodia,KHM,13883834
"Population, total",SP.POP.TOTL,Cameroon,CMR,19252666
"Population, total",SP.POP.TOTL,Canada,CAN,33247118
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,53836
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4273366
"Population, total",SP.POP.TOTL,Chad,TCD,11183588
"Population, total",SP.POP.TOTL,Channel Islands,CHI,156433
"Population, total",SP.POP.TOTL,Chile,CHL,16708258
"Population, total",SP.POP.TOTL,China,CHN,1324655000
"Population, total",SP.POP.TOTL,Colombia,COL,44254972
"Population, total",SP.POP.TOTL,Comoros,COM,657229
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,60411195
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4011486
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4463125
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,19605569
"Population, total",SP.POP.TOTL,Croatia,HRV,4309705
"Population, total",SP.POP.TOTL,Cuba,CUB,11236971
"Population, total",SP.POP.TOTL,Curacao,CUW,145880
"Population, total",SP.POP.TOTL,Cyprus,CYP,1081563
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10384603
"Population, total",SP.POP.TOTL,Denmark,DNK,5493621
"Population, total",SP.POP.TOTL,Djibouti,DJI,816358
"Population, total",SP.POP.TOTL,Dominica,DMA,70827
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9458075
"Population, total",SP.POP.TOTL,Ecuador,ECU,14535739
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,79636079
"Population, total",SP.POP.TOTL,El Salvador,SLV,6131764
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,860840
"Population, total",SP.POP.TOTL,Eritrea,ERI,3062779
